city_name,indicator_value,edgenum
成都,23,4
曲靖,23,3
柳州,22,3
周口,22,3
汕尾,21,2
深圳,21,2
南昌,20,2
广州,20,2
杭州,20,2
上海,20,2
贵阳,20,2
文山壮族苗族自治州,20,2
郑州,20,2
漯河,20,2
韶关,20,2
滨州,19,2
大理白族自治州,18,2
芜湖,18,2
合肥,17,2
南宁,17,2
济南,17,2
哈尔滨,18,1
绥化,18,1
黔西南布依族苗族自治州,18,1
巴中,18,1
凉山彝族自治州,18,1
攀枝花,18,1
抚州,18,1
湖州,18,1
苏州,18,1
昭通,18,1
衡水,18,1
沧州,18,1
福州,18,1
三明,18,1
珠海,18,1
达州,18,1
东莞,18,1
中山,18,1
黔东南苗族侗族自治州,18,1
呼和浩特,18,1
乌兰察布,18,1
自贡,18,1
昆明,18,1
广元,18,1
焦作,18,1
红河哈尼族彝族自治州,18,1
桂林,18,1
佛山,18,1
丽水,18,1
温州,18,1
鄂尔多斯,18,1
乌海,18,1
重庆,18,1
恩施土家族苗族自治州,18,1
百色,18,1
驻马店,18,1
无锡,18,1
鞍山,18,1
盘锦,18,1
邯郸,18,1
石家庄,18,1
亳州,18,1
开封,18,1
贺州,18,1
梧州,18,1
东营,18,1
定西,18,1
临夏回族自治州,18,1
烟台,18,1
威海,18,1
宁波,18,1
舟山,18,1
沈阳,18,1
阜新,18,1
商丘,18,1
临沧,18,1
清远,18,1
宣城,18,1
营口,18,1
大连,18,1
六盘水,18,1
金华,18,1
绍兴,18,1
南京,18,1
扬州,18,1
揭阳,18,1
衢州,18,1
洛阳,18,1
平顶山,18,1
河池,18,1
淄博,18,1
上饶,18,1
阜阳,18,1
延安,17,1
西安,17,1
来宾,17,1
保山,17,1
