code,name,城市名称,longitude,latitude
110000.0,北京,,,
120000.0,天津,,,
152200.0,兴安盟,,,
469021.0,定安,,,
469022.0,屯昌,,,
469023.0,澄迈,,,
469024.0,临高,,,
630200.0,海东地区,,,
810000.0,香港,,,
820000.0,澳门,,,
540300.0,昌都地区,,,
540500.0,山南地区,,,
540200.0,日喀则地区,,,
540600.0,那曲地区,,,
540400.0,林芝地区,,,
650400.0,吐鲁番地区,,,
520600.0,铜仁地区,,,
520500.0,毕节地区,,,
450000.0,广西壮族自治区,,,
150000.0,内蒙古自治区,,,
640000.0,宁夏回族自治区,,,
650000.0,新疆维吾尔自治区,,,
540000.0,西藏自治区,,,
130100.0,石家庄,,,
130200.0,唐山,,,
130300.0,秦皇岛,,,
130400.0,邯郸,,,
130500.0,邢台,,,
130600.0,保定,,,
130700.0,张家口,,,
130800.0,承德,,,
130900.0,沧州,,,
131000.0,廊坊,,,
131100.0,衡水,,,
140100.0,太原,,,
140200.0,大同,,,
140300.0,阳泉,,,
140400.0,长治,,,
140500.0,晋城,,,
140600.0,朔州,,,
140700.0,晋中,,,
140800.0,运城,,,
140900.0,忻州,,,
141000.0,临汾,,,
141100.0,吕梁,,,
150100.0,呼和浩特,,,
150200.0,包头,,,
150300.0,乌海,,,
150400.0,赤峰,,,
150500.0,通辽,,,
150600.0,鄂尔多斯,,,
150700.0,呼伦贝尔,,,
150800.0,巴彦淖尔,,,
150900.0,乌兰察布,,,
210100.0,沈阳,,,
210200.0,大连,,,
210300.0,鞍山,,,
210400.0,抚顺,,,
210500.0,本溪,,,
210600.0,丹东,,,
210700.0,锦州,,,
210800.0,营口,,,
210900.0,阜新,,,
211000.0,辽阳,,,
211100.0,盘锦,,,
211200.0,铁岭,,,
211300.0,朝阳,,,
211400.0,葫芦岛,,,
220100.0,长春,,,
220200.0,吉林市,,,
220300.0,四平,,,
220400.0,辽源,,,
220500.0,通化,,,
220600.0,白山,,,
220700.0,松原,,,
220800.0,白城,,,
230100.0,哈尔滨,,,
230200.0,齐齐哈尔,,,
230300.0,鸡西,,,
230400.0,鹤岗,,,
230500.0,双鸭山,,,
230600.0,大庆,,,
230700.0,伊春,,,
230800.0,佳木斯,,,
230900.0,七台河,,,
231000.0,牡丹江,,,
231100.0,黑河,,,
231200.0,绥化,,,
310000.0,上海,,,
320100.0,南京,,,
320200.0,无锡,,,
320300.0,徐州,,,
320400.0,常州,,,
320500.0,苏州,,,
320600.0,南通,,,
320700.0,连云港,,,
320800.0,淮安,,,
320900.0,盐城,,,
321000.0,扬州,,,
321100.0,镇江,,,
321200.0,泰州,,,
321300.0,宿迁,,,
330000.0,浙江,,,
330100.0,杭州,,,
330200.0,宁波,,,
330300.0,温州,,,
330400.0,嘉兴,,,
330500.0,湖州,,,
330600.0,绍兴,,,
330700.0,金华,,,
330800.0,衢州,,,
330900.0,舟山,,,
331000.0,台州,,,
331100.0,丽水,,,
340100.0,合肥,,,
340200.0,芜湖,,,
340300.0,蚌埠,,,
340400.0,淮南,,,
340500.0,马鞍山,,,
340600.0,淮北,,,
340700.0,铜陵,,,
340800.0,安庆,,,
341000.0,黄山,,,
341100.0,滁州,,,
341200.0,阜阳,,,
341300.0,宿州,,,
341500.0,六安,,,
341600.0,亳州,,,
341700.0,池州,,,
341800.0,宣城,,,
350100.0,福州,,,
350200.0,厦门,,,
350300.0,莆田,,,
350400.0,三明,,,
350500.0,泉州,,,
350600.0,漳州,,,
350700.0,南平,,,
350800.0,龙岩,,,
350900.0,宁德,,,
360100.0,南昌,,,
360200.0,景德镇,,,
360300.0,萍乡,,,
360400.0,九江,,,
360500.0,新余,,,
360600.0,鹰潭,,,
360700.0,赣州,,,
360800.0,吉安,,,
360900.0,宜春,,,
361000.0,抚州,,,
361100.0,上饶,,,
370100.0,济南,,,
370100.0,莱芜,,,
370200.0,青岛,,,
370300.0,淄博,,,
370400.0,枣庄,,,
370500.0,东营,,,
370600.0,烟台,,,
370700.0,潍坊,,,
370800.0,济宁,,,
370900.0,泰安,,,
371000.0,威海,,,
371100.0,日照,,,
371300.0,临沂,,,
371400.0,德州,,,
371500.0,聊城,,,
371600.0,滨州,,,
371700.0,菏泽,,,
410100.0,郑州,,,
410200.0,开封,,,
410300.0,洛阳,,,
410400.0,平顶山,,,
410500.0,安阳,,,
410600.0,鹤壁,,,
410700.0,新乡,,,
410800.0,焦作,,,
410900.0,濮阳,,,
411000.0,许昌,,,
411100.0,漯河,,,
411200.0,三门峡,,,
411300.0,南阳,,,
411400.0,商丘,,,
411500.0,信阳,,,
411600.0,周口,,,
411700.0,驻马店,,,
420100.0,武汉,,,
420200.0,黄石,,,
420300.0,十堰,,,
420500.0,宜昌,,,
420600.0,襄阳,,,
420700.0,鄂州,,,
420800.0,荆门,,,
420900.0,孝感,,,
421000.0,荆州,,,
421100.0,黄冈,,,
421200.0,咸宁,,,
421300.0,随州,,,
429004.0,仙桃,,,
429005.0,潜江,,,
429006.0,天门,,,
430100.0,长沙,,,
430200.0,株洲,,,
430300.0,湘潭,,,
430400.0,衡阳,,,
430500.0,邵阳,,,
430600.0,岳阳,,,
430700.0,常德,,,
430800.0,张家界,,,
430900.0,益阳,,,
431000.0,郴州,,,
431100.0,永州,,,
431200.0,怀化,,,
431300.0,娄底,,,
440100.0,广州,,,
440200.0,韶关,,,
440300.0,深圳,,,
440400.0,珠海,,,
440500.0,汕头,,,
440600.0,佛山,,,
440700.0,江门,,,
440800.0,湛江,,,
440900.0,茂名,,,
441200.0,肇庆,,,
441300.0,惠州,,,
441400.0,梅州,,,
441500.0,汕尾,,,
441600.0,河源,,,
441700.0,阳江,,,
441800.0,清远,,,
441900.0,东莞,,,
419001.0,济源,,,
442000.0,中山,,,
445100.0,潮州,,,
445200.0,揭阳,,,
445300.0,云浮,,,
450100.0,南宁,,,
450200.0,柳州,,,
450300.0,桂林,,,
450400.0,梧州,,,
450500.0,北海,,,
450600.0,防城港,,,
450700.0,钦州,,,
450800.0,贵港,,,
450900.0,玉林,,,
451000.0,百色,,,
451100.0,贺州,,,
451200.0,河池,,,
451300.0,来宾,,,
451400.0,崇左,,,
460100.0,海口,,,
469001.0,五指山,,,
469002.0,琼海,,,
460400.0,儋州,,,
469005.0,文昌,,,
469006.0,万宁,,,
469007.0,东方,,,
500000.0,重庆,,,
510100.0,成都,,,
510300.0,自贡,,,
510400.0,攀枝花,,,
510500.0,泸州,,,
510600.0,德阳,,,
510700.0,绵阳,,,
510800.0,广元,,,
510900.0,遂宁,,,
511000.0,内江,,,
511100.0,乐山,,,
511300.0,南充,,,
511400.0,眉山,,,
511500.0,宜宾,,,
511600.0,广安,,,
511700.0,达州,,,
511800.0,雅安,,,
511900.0,巴中,,,
512000.0,资阳,,,
520100.0,贵阳,,,
520200.0,六盘水,,,
520300.0,遵义,,,
520400.0,安顺,,,
530100.0,昆明,,,
530300.0,曲靖,,,
530400.0,玉溪,,,
530500.0,保山,,,
530600.0,昭通,,,
530700.0,丽江,,,
530900.0,临沧,,,
530800.0,普洱,,,
540100.0,拉萨,,,
610100.0,西安,,,
610200.0,铜川,,,
610300.0,宝鸡,,,
610400.0,咸阳,,,
610500.0,渭南,,,
610600.0,延安,,,
610700.0,汉中,,,
610800.0,榆林,,,
610900.0,安康,,,
611000.0,商洛,,,
620100.0,兰州,,,
620200.0,嘉峪关,,,
620300.0,金昌,,,
620400.0,白银,,,
620500.0,天水,,,
620600.0,武威,,,
620700.0,张掖,,,
620800.0,平凉,,,
620900.0,酒泉,,,
621000.0,庆阳,,,
621100.0,定西,,,
621200.0,陇南,,,
630100.0,西宁,,,
640100.0,银川,,,
640200.0,石嘴山,,,
640300.0,吴忠,,,
640400.0,固原,,,
640500.0,中卫,,,
650100.0,乌鲁木齐,,,
650200.0,克拉玛依,,,
659001.0,石河子,,,
659002.0,阿拉尔,,,
659003.0,图木舒克,,,
659004.0,五家渠,,,
659005.0,北屯,,,
659006.0,铁门关,,,
659007.0,双河,,,
659008.0,可克达拉,,,
659009.0,昆玉,,,
422800.0,恩施土家族苗族自治州,,,
222400.0,延边朝鲜族自治州,,,
429021.0,神农架林区,,,
433100.0,湘西土家族苗族自治州,,,
232700.0,大兴安岭地区,,,
469025.0,白沙黎族自治县,,,
469026.0,昌江黎族自治县,,,
469027.0,乐东黎族自治县,,,
469028.0,陵水黎族自治县,,,
469029.0,保亭黎族苗族自治县,,,
469030.0,琼中黎族苗族自治县,,,
513200.0,阿坝藏族羌族自治州,,,
513300.0,甘孜藏族自治州,,,
513400.0,凉山彝族自治州,,,
522300.0,黔西南布依族苗族自治州,,,
522600.0,黔东南苗族侗族自治州,,,
522700.0,黔南布依族苗族自治州,,,
532300.0,楚雄彝族自治州,,,
532500.0,红河哈尼族彝族自治州,,,
532600.0,文山壮族苗族自治州,,,
532800.0,西双版纳傣族自治州,,,
532900.0,大理白族自治州,,,
533100.0,德宏傣族景颇族自治州,,,
533300.0,怒江傈僳族自治州,,,
533400.0,迪庆藏族自治州,,,
542500.0,阿里地区,,,
622900.0,临夏回族自治州,,,
623000.0,甘南藏族自治州,,,
632200.0,海北藏族自治州,,,
632300.0,黄南藏族自治州,,,
632500.0,海南藏族自治州,,,
632600.0,果洛藏族自治州,,,
632700.0,玉树藏族自治州,,,
632800.0,海西蒙古族藏族自治州,,,
652300.0,昌吉回族自治州,,,
652700.0,博尔塔拉蒙古自治州,,,
652800.0,巴音郭楞蒙古自治州,,,
650500.0,哈密地区,,,
652900.0,阿克苏地区,,,
653000.0,克孜勒苏柯尔克孜自治州,,,
654000.0,伊犁哈萨克自治州,,,
653100.0,喀什地区,,,
653200.0,和田地区,,,
654200.0,塔城地区,,,
654300.0,阿勒泰地区,,,
152500.0,锡林郭勒盟,,,
152900.0,阿拉善盟,,,
